mode,sample_id,control,score
2d,train__c14__user1__1-2-2,different_action,0.7754049608219522
2d,train__c14__user1__1-2-2,time_shuffle,0.9318174074389051
2d,train__c14__user1__1-2-2,left_right_swap,0.7737054826661441
2d,train__c14__user1__4-1-1,positive_same_trial,0.8981969677241473
2d,train__c14__user1__4-1-1,same_action_other_trial,0.8992785298043532
2d,train__c14__user1__4-1-1,different_action,0.7668971499701854
2d,train__c14__user1__4-1-1,time_shuffle,0.8877168811795701
2d,train__c14__user1__4-1-1,left_right_swap,0.7777790836602521
2d,train__c14__user1__4-1-2,positive_same_trial,0.8083409353032299
2d,train__c14__user1__4-1-2,same_action_other_trial,0.7900428037056461
2d,train__c14__user1__4-1-2,different_action,0.7178567113299289
2d,train__c14__user1__4-1-2,time_shuffle,0.812076257638651
2d,train__c14__user1__4-1-2,left_right_swap,0.6931808246776623
2d,train__c14__user1__4-1-3,positive_same_trial,0.8878012912864066
2d,train__c14__user1__4-1-3,same_action_other_trial,0.8631183199697052
2d,train__c14__user1__4-1-3,different_action,0.6387197116048523
2d,train__c14__user1__4-1-3,time_shuffle,0.8802974249055058
2d,train__c14__user1__4-1-3,left_right_swap,0.7458525882567517
2d,train__c17__user1__2-2-1,positive_same_trial,0.8937823562237759
2d,train__c17__user1__2-2-1,same_action_other_trial,0.9005259761092156
2d,train__c17__user1__2-2-1,different_action,0.7949936181828714
2d,train__c17__user1__2-2-1,time_shuffle,0.8932905437860177
2d,train__c17__user1__2-2-1,left_right_swap,0.7430692131075763
2d,train__c17__user1__2-2-2,positive_same_trial,0.8712404087330916
2d,train__c17__user1__2-2-2,same_action_other_trial,0.8574885989085973
2d,train__c17__user1__2-2-2,different_action,0.8487764038915075
2d,train__c17__user1__2-2-2,time_shuffle,0.8719646977752609
2d,train__c17__user1__2-2-2,left_right_swap,0.7252273203972055
2d,train__c17__user1__2-2-3,positive_same_trial,0.8513110767700375
2d,train__c17__user1__2-2-3,same_action_other_trial,0.8474171344211687
2d,train__c17__user1__2-2-3,different_action,0.8232825591268714
2d,train__c17__user1__2-2-3,time_shuffle,0.8499384123840685
2d,train__c17__user1__2-2-3,left_right_swap,0.7135266253727045
2d,train__c20__user1__5-1-1,positive_same_trial,0.8801585872651085
2d,train__c20__user1__5-1-1,same_action_other_trial,0.8315816217625479
2d,train__c20__user1__5-1-1,different_action,0.8805161072601976
2d,train__c20__user1__5-1-1,time_shuffle,0.871752020777361
2d,train__c20__user1__5-1-1,left_right_swap,0.7649076827936638
2d,train__c20__user1__5-1-2,positive_same_trial,0.8931000464161416
2d,train__c20__user1__5-1-2,same_action_other_trial,0.8458225576474498
2d,train__c20__user1__5-1-2,different_action,0.6594160308130845
2d,train__c20__user1__5-1-2,time_shuffle,0.8768881536952923
2d,train__c20__user1__5-1-2,left_right_swap,0.766138459040331
2d,train__c20__user1__5-1-3,positive_same_trial,0.8770725051763444
