mode,sample_id,class_id,action_name,user_id,trial_id,frames,best_shift_frames,coverage,rmse,pck,angle_correlation,velocity_correlation,matching_score,rank,gallery_size,retrieval_top1,retrieval_top5,reciprocal_rank
2d,train__c06__user19__7-2-3,6,Drink_water,user19,7-2-3,20,0,0.8333333333333334,0.12256110898001255,0.885,0.9904452895829893,0.48010972785401557,0.8801360918806835,1.0,171.0,1.0,1.0,1.0
25d,train__c06__user19__7-2-3,6,Drink_water,user19,7-2-3,20,-1,0.8289473684210527,0.2761417601328393,0.48677248677248675,0.9012467315906126,0.40088643318211936,0.6458107602146932,1.0,171.0,1.0,1.0,1.0
2d,train__c07__user19__7-2-1,7,Eat_food,user19,7-2-1,23,0,0.9094202898550725,0.10184869060991024,0.9203187250996016,0.9991301206411118,0.5604818497340204,0.9140664785844508,1.0,171.0,1.0,1.0,1.0
25d,train__c07__user19__7-2-1,7,Eat_food,user19,7-2-1,23,1,0.9053030303030303,0.2947090766734025,0.4351464435146444,0.8790733261989466,0.3474286025171021,0.6188253247720348,3.0,171.0,0.0,1.0,0.3333333333333333
2d,train__c07__user19__7-2-2,7,Eat_food,user19,7-2-2,26,1,0.92,0.12102581451500961,0.8840579710144928,0.9961562557578887,0.46857242433844726,0.8879904414591434,1.0,171.0,1.0,1.0,1.0
25d,train__c07__user19__7-2-2,7,Eat_food,user19,7-2-2,26,2,0.9166666666666666,0.32182997715776146,0.3522727272727273,0.9145423632103465,0.3754476375409576,0.5800294758032732,1.0,171.0,1.0,1.0,1.0
2d,train__c07__user19__7-2-3,7,Eat_food,user19,7-2-3,20,1,0.9736842105263158,0.14479873556908926,0.7612612612612613,0.9849104881568326,0.05646603678825266,0.7937881163211276,2.0,171.0,0.0,1.0,0.5
25d,train__c07__user19__7-2-3,7,Eat_food,user19,7-2-3,20,-2,0.9814814814814815,0.24258122684205588,0.5377358490566038,0.791533782570855,-0.030324782440764652,0.6457818847033083,5.0,171.0,0.0,1.0,0.2
2d,train__c08__user19__7-2-1,8,Take_and_use_tableware,user19,7-2-1,25,1,0.8368055555555556,0.1532365929339431,0.7717842323651453,0.9663067935007363,0.3121024742708823,0.8032002482767753,1.0,171.0,1.0,1.0,1.0
25d,train__c08__user19__7-2-1,8,Take_and_use_tableware,user19,7-2-1,25,0,0.8366666666666667,0.29810495629382544,0.5378486055776892,0.881747359809722,0.13099383469868414,0.6524826733177692,1.0,171.0,1.0,1.0,1.0
2d,train__c08__user19__7-2-2,8,Take_and_use_tableware,user19,7-2-2,21,0,0.8849206349206349,0.1547540160780331,0.726457399103139,0.9719016834499319,0.6051516123574854,0.8056201722705946,1.0,171.0,1.0,1.0,1.0
25d,train__c08__user19__7-2-2,8,Take_and_use_tableware,user19,7-2-2,21,1,0.8833333333333333,0.37264475430965993,0.49056603773584906,0.8032839483780027,0.2407447907905568,0.6315289082351424,1.0,171.0,1.0,1.0,1.0
2d,train__c08__user19__7-2-3,8,Take_and_use_tableware,user19,7-2-3,16,0,0.9375,0.1397604269287938,0.7555555555555555,0.9700333542467933,0.7193736178213626,0.835261912316837,1.0,171.0,1.0,1.0,1.0
25d,train__c08__user19__7-2-3,8,Take_and_use_tableware,user19,7-2-3,16,2,0.9404761904761905,0.24663667535991934,0.5379746835443038,0.6786899188825718,0.7149475978427217,0.6864237567234475,1.0,171.0,1.0,1.0,1.0
2d,train__c09__user19__2-1-1,9,Pour_drinks,user19,2-1-1,45,0,0.8833333333333333,0.19694737334461754,0.7148846960167715,0.9663772911237366,0.4353777508224148,0.7858109765666125,1.0,171.0,1.0,1.0,1.0
25d,train__c09__user19__2-1-1,9,Pour_drinks,user19,2-1-1,45,1,0.8825757575757576,0.3151630341443218,0.48283261802575106,0.7228440625391928,0.24790768222708276,0.6196929980926893,9.0,171.0,0.0,0.0,0.1111111111111111
2d,train__c09__user19__2-1-2,9,Pour_drinks,user19,2-1-2,40,0,0.8833333333333333,0.17949620501755809,0.7358490566037735,0.9590310496278592,0.466106429269225,0.7989114016233867,1.0,171.0,1.0,1.0,1.0
25d,train__c09__user19__2-1-2,9,Pour_drinks,user19,2-1-2,40,0,0.8833333333333333,0.2827357694827517,0.6179245283018868,0.7806758727695214,0.3462584679476956,0.7072287962724004,1.0,171.0,1.0,1.0,1.0
2d,train__c09__user19__2-1-3,9,Pour_drinks,user19,2-1-3,33,0,0.8686868686868687,0.19139861120308227,0.7209302325581395,0.9632822699121791,0.2988415205155887,0.7771216558055507,1.0,171.0,1.0,1.0,1.0
25d,train__c09__user19__2-1-3,9,Pour_drinks,user19,2-1-3,33,-2,0.8709677419354839,0.3086298176506516,0.5246913580246914,0.8864278984753274,0.08648068247391193,0.6458058621402047,1.0,171.0,1.0,1.0,1.0
2d,train__c09__user19__3-2-1,9,Pour_drinks,user19,3-2-1,38,0,0.8333333333333334,0.15135499447863277,0.7921052631578948,0.9810142831619659,0.44519114262029447,0.8254819920828942,4.0,171.0,0.0,1.0,0.25
25d,train__c09__user19__3-2-1,9,Pour_drinks,user19,3-2-1,38,2,0.8310185185185185,0.34833169373953915,0.45403899721448465,0.4714744311734729,0.21619324762847142,0.571185237009301,1.0,171.0,1.0,1.0,1.0
2d,train__c09__user19__3-2-2,9,Pour_drinks,user19,3-2-2,33,-1,0.8802083333333334,0.1861596270174768,0.6923076923076923,0.96247368078961,0.29516517523918173,0.7621748203244638,3.0,171.0,0.0,1.0,0.3333333333333333
25d,train__c09__user19__3-2-2,9,Pour_drinks,user19,3-2-2,33,-1,0.8802083333333334,0.33533581547246716,0.5295857988165681,0.7755769324664566,0.11396487784751642,0.6403980817676552,3.0,171.0,0.0,1.0,0.3333333333333333
2d,train__c09__user19__3-2-3,9,Pour_drinks,user19,3-2-3,23,-1,0.8939393939393939,0.16160444399069404,0.7415254237288136,0.9775154436400999,0.4588377640596957,0.804397299113274,1.0,171.0,1.0,1.0,1.0
25d,train__c09__user19__3-2-3,9,Pour_drinks,user19,3-2-3,23,-1,0.8939393939393939,0.3112126889669096,0.4915254237288136,0.8671095092590538,0.43300889548078414,0.653919540531751,4.0,171.0,0.0,1.0,0.25
2d,train__c09__user19__7-2-1,9,Pour_drinks,user19,7-2-1,29,0,0.8505747126436781,0.15709757833529786,0.7702702702702703,0.9653739264275837,0.37307637151651,0.8082242404195131,1.0,171.0,1.0,1.0,1.0
25d,train__c09__user19__7-2-1,9,Pour_drinks,user19,7-2-1,29,0,0.8505747126436781,0.4304724252142753,0.47635135135135137,0.682901340334992,0.39352421913696695,0.6198551649763828,3.0,171.0,0.0,1.0,0.3333333333333333
2d,train__c09__user19__7-2-2,9,Pour_drinks,user19,7-2-2,21,1,0.8333333333333334,0.14072955259812595,0.805,0.9502654137514618,0.20609974299806785,0.8115673554333347,1.0,171.0,1.0,1.0,1.0
25d,train__c09__user19__7-2-2,9,Pour_drinks,user19,7-2-2,21,0,0.8333333333333334,0.35390745380095284,0.37142857142857144,0.6042388919591032,-0.09925517599488694,0.5155987986153414,1.0,171.0,1.0,1.0,1.0
2d,train__c09__user19__7-2-3,9,Pour_drinks,user19,7-2-3,32,-1,0.8763440860215054,0.1846774098479165,0.7116564417177914,0.8614532395481739,0.43670405738726875,0.7729435798057983,1.0,171.0,1.0,1.0,1.0
25d,train__c09__user19__7-2-3,9,Pour_drinks,user19,7-2-3,32,-1,0.8736559139784946,0.3419268063678001,0.46153846153846156,0.49497002702746257,0.33568004748956104,0.5908847515084668,2.0,171.0,0.0,1.0,0.5
2d,train__c10__user19__2-1-1,10,Stir_drinks,user19,2-1-1,41,-2,0.8461538461538461,0.13245058787164682,0.8257575757575758,0.9266894076994457,0.1755467959616938,0.819617001749123,3.0,171.0,0.0,1.0,0.3333333333333333
25d,train__c10__user19__2-1-1,10,Stir_drinks,user19,2-1-1,41,-1,0.8458333333333333,0.21762250997378574,0.5394088669950738,0.7794125472518846,0.1330413243954048,0.6441775642354678,2.0,171.0,0.0,1.0,0.5
2d,train__c10__user19__2-1-2,10,Stir_drinks,user19,2-1-2,30,0,0.8694444444444445,0.13325428448666374,0.8338658146964856,0.9730600557918896,0.3682214786415534,0.8454932590048171,2.0,171.0,0.0,1.0,0.5
25d,train__c10__user19__2-1-2,10,Stir_drinks,user19,2-1-2,30,0,0.8694444444444445,0.28947318291531055,0.43130990415335463,0.58982446722761,0.2229139096468849,0.5748658816750669,10.0,171.0,0.0,0.0,0.1
2d,train__c10__user19__2-1-3,10,Stir_drinks,user19,2-1-3,8,0,0.8333333333333334,0.12808125705026208,0.85,0.989001376359362,0.37431310124366846,0.8528069535625447,3.0,171.0,0.0,1.0,0.3333333333333333
25d,train__c10__user19__2-1-3,10,Stir_drinks,user19,2-1-3,8,0,0.8229166666666666,0.26251047746474954,0.5949367088607594,0.5391116526845411,0.23488021136753345,0.6560340376611035,2.0,171.0,0.0,1.0,0.5
2d,train__c10__user19__3-2-1,10,Stir_drinks,user19,3-2-1,13,0,0.8846153846153846,0.13652821053033265,0.8115942028985508,0.9960570244567716,0.5114790526049847,0.8478049814467925,1.0,171.0,1.0,1.0,1.0
25d,train__c10__user19__3-2-1,10,Stir_drinks,user19,3-2-1,13,0,0.8846153846153846,0.241005382057194,0.5362318840579711,0.8478807880302632,0.35291484929935013,0.6696457671939002,7.0,171.0,0.0,0.0,0.14285714285714285
