mode,class_id,action_name,trials,frames,coverage,rmse,pck,angle_correlation,velocity_correlation,matching_score,retrieval_top1,retrieval_top5,reciprocal_rank
25d,28,Jog_in_place,25,39.48,0.971623597964627,0.4614321764725902,0.4872063057979262,0.7806236721750728,0.21390024868991778,0.6342307138545733,0.76,0.92,0.8196666666666667
25d,29,Do_squats,61,31.0,0.9242864260285083,0.5192614058661716,0.40195050160517365,0.6658143375607073,0.28579134587318344,0.5765172031822559,0.5573770491803278,0.8032786885245902,0.6912564199528058
25d,30,Do_jumping_jacks,37,33.189189189189186,0.9652370981719735,0.5727044718117522,0.3885335453312413,0.4077186878351725,0.20477168923797884,0.5413469052257458,0.8108108108108109,0.8648648648648649,0.8500198000198
25d,31,Do_stretching_exercises,66,31.303030303030305,0.8905050953584406,0.5655834791557597,0.38109879510653666,0.6500607721468615,0.19629753586792073,0.5499822867943066,0.6666666666666666,0.7936507936507936,0.726263463168225
25d,32,Stand_up,39,12.564102564102564,0.8653652368648994,0.6598292578152973,0.38017887188303134,0.369970335257282,0.2887038530021295,0.5224193872092874,0.23684210526315788,0.6052631578947368,0.4106151578123935
25d,33,Lie_down,25,38.8,0.750111334549584,0.7002241761789173,0.3336905152636566,0.3427567326903523,0.16302428606322916,0.48004341157374697,0.44,0.84,0.5913111192303009
25d,34,Sit_down,90,13.988888888888889,0.9222767665477455,0.6315479430995009,0.3820410740967962,0.3486753801279541,0.2264337224779588,0.5290116398379231,0.3888888888888889,0.6444444444444445,0.517154835143878
25d,35,Do_lunges,21,39.333333333333336,0.9525608540094437,0.4984665563966988,0.4870285685788068,0.32684207723777686,0.17270026964130544,0.5837585260661637,0.5714285714285714,0.8571428571428571,0.7146464646464646
25d,36,Walk,228,20.135964912280702,0.6018039747676937,0.40897799933150575,0.5429495811427283,0.3766330295995649,0.22841224617527167,0.5821193297008832,0.5362318840579711,0.8260869565217391,0.6630719152203333
25d,37,Take_medicine,44,25.545454545454547,0.8125720064059948,0.41811623754460625,0.4566190531353034,0.654578315058114,0.2726368110710842,0.5933032722011591,0.4772727272727273,0.6818181818181818,0.5949852535378851
25d,38,Massage_oneself,50,34.82,0.8704733504608241,0.5199593629132715,0.44303761791862173,0.5936194033800801,0.1722113517444323,0.5779958166201649,0.24,0.52,0.38532350832949036
25d,39,Take_body_temperature,37,23.594594594594593,0.8300096542827978,0.48506689784417417,0.5060523468219461,0.5968530779621715,0.2918505346988416,0.6179038540789805,0.5405405405405406,0.8378378378378378,0.6875599625599625
2d,0,Wash_face,27,26.85185185185185,0.6726829061530887,0.2290703671191569,0.64785940735917,0.7252779347995445,0.22084748745838187,0.6843826398859139,0.5384615384615384,0.8846153846153846,0.682142857142857
2d,1,Brush_teeth,33,25.90909090909091,0.6968229710166937,0.1869835308995559,0.8017998907105196,0.6091950570915311,0.27424677378624684,0.7671602507355768,0.5151515151515151,0.696969696969697,0.6050455902905993
2d,2,Comb_hair,39,27.05128205128205,0.7630031653567151,0.2368365376520717,0.73337577836187,0.6511907677653271,0.2804744478302585,0.7408116549985022,0.5641025641025641,0.6666666666666666,0.6288702564997996
2d,3,Take_off_clothes,30,31.433333333333334,0.8628295205245777,0.2497913421229136,0.6693023036427561,0.5959176195970122,0.27687614201154925,0.7097566916665411,0.7333333333333333,0.9333333333333333,0.8101921274601688
2d,4,Wipe_hands,53,23.07547169811321,0.7206019174448363,0.1672472768365892,0.8052495352263369,0.7650066250187655,0.2916284920244353,0.7864641449678912,0.4230769230769231,0.8461538461538461,0.6029075091575091
2d,5,Put_on_clothes,39,63.256410256410255,0.7153882738693145,0.2820333330488849,0.6722958227056082,0.6422965867046184,0.243831913557951,0.6988185820623242,0.8461538461538461,0.9230769230769231,0.8785546522574824
2d,6,Drink_water,106,26.971698113207548,0.8232839333565545,0.19152229403348478,0.7766792942924975,0.7378782484072002,0.3376605393667731,0.7836143704897571,0.49056603773584906,0.7547169811320755,0.6178353529627876
