class_id,action_name,val_support,base_f1,base_recall,base_true_rank_mean,mobilenet_f1,mobilenet_recall,mobilenet_true_rank_mean,mobilenet_rescued,mobilenet_harmed,mobilenet_net_rescue,resnet18_f1,resnet18_recall,resnet18_true_rank_mean,resnet18_rescued,resnet18_harmed,resnet18_net_rescue,delta_resnet_vs_base,delta_resnet_vs_mobilenet
30,Do_jumping_jacks,6,0.6666666666666666,0.8333333333333334,1.1666666666666667,0.6666666666666666,0.8333333333333334,1.1666666666666667,0,0,0,0.6666666666666666,0.8333333333333334,1.1666666666666667,0,0,0,0.0,0.0
31,Do_stretching_exercises,18,0.42857142857142855,0.5,6.277777777777778,0.4090909090909091,0.5,5.0,0,0,0,0.42857142857142855,0.5,5.722222222222222,0,0,0,0.0,0.01948051948051943
32,Stand_up,24,0.7111111111111111,0.6666666666666666,1.7083333333333333,0.7111111111111111,0.6666666666666666,1.6666666666666667,0,0,0,0.7111111111111111,0.6666666666666666,1.6666666666666667,0,0,0,0.0,0.0
33,Lie_down,6,0.5454545454545454,0.5,4.5,0.5454545454545454,0.5,4.166666666666667,0,0,0,0.5454545454545454,0.5,4.166666666666667,0,0,0,0.0,0.0
34,Sit_down,31,0.7619047619047619,0.7741935483870968,1.3225806451612903,0.7619047619047619,0.7741935483870968,1.3225806451612903,0,0,0,0.7619047619047619,0.7741935483870968,1.3225806451612903,0,0,0,0.0,0.0
35,Do_lunges,5,0.0,0.0,15.2,0.0,0.0,12.4,0,0,0,0.0,0.0,13.2,0,0,0,0.0,0.0
36,Walk,71,0.9333333333333333,0.9859154929577465,1.0140845070422535,0.9333333333333333,0.9859154929577465,1.0140845070422535,0,0,0,0.9333333333333333,0.9859154929577465,1.0140845070422535,0,0,0,0.0,0.0
37,Take_medicine,17,0.06896551724137931,0.058823529411764705,6.176470588235294,0.0,0.0,12.882352941176471,0,1,-1,0.14285714285714285,0.11764705882352941,8.411764705882353,1,0,1,0.07389162561576354,0.14285714285714285
38,Massage_oneself,12,0.2608695652173913,0.25,9.333333333333334,0.14285714285714285,0.16666666666666666,6.25,0,1,-1,0.15384615384615385,0.16666666666666666,7.333333333333333,0,1,-1,-0.10702341137123744,0.010989010989011005
39,Take_body_temperature,15,0.1935483870967742,0.2,3.2666666666666666,0.1111111111111111,0.06666666666666667,6.133333333333334,0,2,-2,0.08695652173913043,0.06666666666666667,4.333333333333333,0,2,-2,-0.10659186535764376,-0.024154589371980673
