class_id,action_name,train_support,val_support,precision_best_accuracy,recall_best_accuracy,f1_best_accuracy,predicted_count_best_accuracy,correct_count_best_accuracy,true_probability_mean_best_accuracy,true_rank_mean_best_accuracy,true_rank_median_best_accuracy,top_confused_class_best_accuracy,top_confused_action_best_accuracy,top_confusion_count_best_accuracy,precision_best_macro,recall_best_macro,f1_best_macro,predicted_count_best_macro,correct_count_best_macro,true_probability_mean_best_macro,true_rank_mean_best_macro,true_rank_median_best_macro,top_confused_class_best_macro,top_confused_action_best_macro,top_confusion_count_best_macro,delta_precision_macro_minus_accuracy,delta_recall_macro_minus_accuracy,delta_f1_macro_minus_accuracy,delta_predicted_count_macro_minus_accuracy,delta_true_rank_macro_minus_accuracy
17,Tap_the_keyboard,69,17,0.4444444444444444,0.7058823529411765,0.5454545454545454,27,12,0.5615285634994507,3.5294117647058822,1.0,15,Wipe_windows_and_tables,2,0.4285714285714285,0.5294117647058824,0.4736842105263157,21,9,0.3895554542541504,5.294117647058823,1.0,9,Pour_drinks,2,-0.0158730158730158,-0.1764705882352941,-0.0717703349282296,-6,1.7647058823529411
4,Wipe_hands,55,15,0.5714285714285714,0.5333333333333333,0.5517241379310345,14,8,0.4211900532245636,2.1333333333333333,1.0,0,Wash_face,3,0.5714285714285714,0.5333333333333333,0.5517241379310345,14,8,0.3654972314834595,2.4,1.0,0,Wash_face,4,0.0,0.0,0.0,0,0.2666666666666666
29,Do_squats,62,15,0.875,0.4666666666666667,0.6086956521739131,8,7,0.3705191910266876,5.8,2.0,3,Take_off_clothes,6,0.7,0.4666666666666667,0.56,10,7,0.4270039796829223,4.533333333333333,2.0,3,Take_off_clothes,3,-0.175,0.0,-0.048695652173913,2,-1.2666666666666666
28,Jog_in_place,26,11,0.8571428571428571,0.5454545454545454,0.6666666666666666,7,6,0.3327207565307617,3.0,1.0,36,Walk,2,0.5294117647058824,0.8181818181818182,0.6428571428571429,17,9,0.4941370189189911,1.2727272727272727,1.0,36,Walk,2,-0.3277310924369747,0.2727272727272728,-0.0238095238095237,10,-1.7272727272727273
30,Do_jumping_jacks,38,6,0.5,1.0,0.6666666666666666,12,6,0.9188106656074524,1.0,1.0,-1,,0,0.5555555555555556,0.8333333333333334,0.6666666666666666,9,5,0.6653679013252258,1.1666666666666667,1.0,31,Do_stretching_exercises,1,0.0555555555555555,-0.1666666666666666,0.0,-3,0.1666666666666667
33,Lie_down,27,6,1.0,0.5,0.6666666666666666,3,3,0.3743242025375366,6.833333333333333,5.5,21,Read_documents,3,0.6,0.5,0.5454545454545454,5,3,0.4651014506816864,4.5,3.5,15,Wipe_windows_and_tables,2,-0.4,0.0,-0.1212121212121212,2,-2.333333333333333
34,Sit_down,115,31,0.5918367346938775,0.935483870967742,0.725,49,29,0.8970621824264526,1.064516129032258,1.0,29,Do_squats,1,0.75,0.7741935483870968,0.7619047619047619,32,24,0.7765748500823975,1.3225806451612905,1.0,29,Do_squats,3,0.1581632653061224,-0.1612903225806451,0.0369047619047618,-17,0.2580645161290322
32,Stand_up,60,24,0.6857142857142857,1.0,0.8135593220338984,35,24,0.8541052937507629,1.0,1.0,-1,,0,0.7619047619047619,0.6666666666666666,0.7111111111111111,21,16,0.5263571739196777,1.7083333333333333,1.0,36,Walk,4,0.0761904761904761,-0.3333333333333333,-0.1024482109227872,-14,0.7083333333333333
0,Wash_face,32,12,0.7857142857142857,0.9166666666666666,0.8461538461538461,14,11,0.7498257756233215,1.1666666666666667,1.0,3,Take_off_clothes,1,0.75,1.0,0.8571428571428571,16,12,0.8618597388267517,1.0,1.0,-1,,0,-0.0357142857142857,0.0833333333333333,0.0109890109890109,2,-0.1666666666666667
36,Walk,260,71,0.8433734939759037,0.9859154929577464,0.9090909090909092,83,70,0.9840493202209472,1.0140845070422535,1.0,32,Stand_up,1,0.8860759493670886,0.9859154929577464,0.9333333333333332,79,70,0.9845730662345886,1.0140845070422535,1.0,32,Stand_up,1,0.0427024553911848,0.0,0.0242424242424242,-4,0.0
